#temps  Wn_tot  -Wt_tot  Wp_tot  Wint_tot  KEr_tot  
0.458 0.00379669 0.526147 5.1549 3.2676 0.31571
0.46 0.00380313 0.527593 5.16462 3.27368 0.316145
0.462 0.00380633 0.529029 5.17428 3.27972 0.316577
0.464 0.00380924 0.530454 5.18386 3.28571 0.316998
0.466 0.00381246 0.531868 5.19337 3.29166 0.317414
0.468 0.00381634 0.533271 5.20282 3.29758 0.317821
0.47 0.00382064 0.534662 5.2122 3.30346 0.318222
0.472 0.00382532 0.536043 5.22151 3.30931 0.318623
0.474 0.00383121 0.537412 5.23075 3.31513 0.319017
0.476 0.0038369 0.538774 5.23992 3.32093 0.319418
0.478 0.00384387 0.54012 5.24901 3.32668 0.319811
0.48 0.00384968 0.541456 5.25805 3.3324 0.320196
0.482 0.00385616 0.542778 5.26701 3.33808 0.320576
0.484 0.00386162 0.544092 5.27591 3.34374 0.320958
0.486 0.00386801 0.545392 5.28474 3.34936 0.321333
0.488 0.00387473 0.546682 5.2935 3.35496 0.321713
0.49 0.0038813 0.547961 5.3022 3.36052 0.322086
0.492 0.00388785 0.549229 5.31082 3.36604 0.322456
0.494 0.00389403 0.550486 5.31938 3.37153 0.322823
0.496 0.00390035 0.551732 5.32787 3.37698 0.323187
0.498 0.00390598 0.552968 5.33629 3.38239 0.323564
0.5 0.00391124 0.55419 5.34464 3.38775 0.323919
0.502 0.00391544 0.555402 5.35293 3.39308 0.324279
0.504 0.0039192 0.556605 5.36115 3.39836 0.324638
0.506 0.00392388 0.557797 5.3693 3.4036 0.324992
0.508 0.00392744 0.558978 5.37739 3.40879 0.325342
0.51 0.0039314 0.560151 5.38541 3.41395 0.3257
0.512 0.0039352 0.561314 5.39336 3.41906 0.326056
0.514 0.00394092 0.56247 5.40124 3.42413 0.326416
0.516 0.0039486 0.563606 5.40906 3.42914 0.326753
0.518 0.00395582 0.564743 5.41682 3.43415 0.327126
0.52 0.00396342 0.565866 5.42449 3.43912 0.327495
0.522 0.00397159 0.566977 5.43209 3.44403 0.327841
0.524 0.00397869 0.56808 5.43962 3.4489 0.328193
0.526 0.00398525 0.569173 5.44708 3.45373 0.328547
0.528 0.00399475 0.570256 5.45448 3.45851 0.328892
0.53 0.00400209 0.571335 5.4618 3.46326 0.329263
0.532 0.00401266 0.572401 5.46905 3.46795 0.329608
0.534 0.00402354 0.573464 5.47622 3.47262 0.329977
0.536 0.00403222 0.574522 5.48331 3.47724 0.33035
0.538 0.00403741 0.57557 5.49033 3.48181 0.330708
0.54 0.00404039 0.576611 5.49727 3.48632 0.331051
0.542 0.0040448 0.577645 5.50414 3.4908 0.331403
0.544 0.00405023 0.578672 5.51095 3.49522 0.331741
0.546 0.00405604 0.579692 5.51768 3.49961 0.33208
0.548 0.00406241 0.580704 5.52434 3.50396 0.332412
0.55 0.00406768 0.581708 5.53095 3.50825 0.33273
0.552 0.00407336 0.582706 5.53748 3.51252 0.333048
0.554 0.00407954 0.583695 5.54396 3.51674 0.333355
0.556 0.00408492 0.584676 5.55037 3.52092 0.333655
0.558 0.0040905 0.58565 5.55673 3.52507 0.33395
0.56 0.0040958 0.586616 5.56302 3.52918 0.334241
0.562 0.00410093 0.587574 5.56927 3.53325 0.334525
0.564 0.00410518 0.588525 5.57545 3.53728 0.334805
0.566 0.00410911 0.589468 5.58158 3.54128 0.335086
0.568 0.004115 0.590402 5.58766 3.54524 0.335358
0.57 0.00411957 0.591328 5.59368 3.54916 0.335618
0.572 0.00412323 0.592247 5.59966 3.55304 0.335879
0.574 0.00412753 0.593157 5.60558 3.55689 0.336131
0.576 0.00413185 0.594058 5.61147 3.56071 0.336374
0.578 0.00413631 0.594952 5.61731 3.56449 0.336622
0.58 0.00414157 0.595838 5.62309 3.56824 0.336862
0.582 0.00414587 0.596715 5.62884 3.57195 0.337092
0.584 0.00415219 0.597588 5.63455 3.57565 0.337337
0.586 0.0041591 0.598449 5.6402 3.57929 0.337557
0.588 0.00416564 0.599304 5.64582 3.58292 0.337787
0.59 0.00417097 0.60015 5.6514 3.58651 0.338009
0.592 0.00417429 0.600989 5.65693 3.59007 0.338224
0.594 0.00417768 0.601819 5.66243 3.59361 0.33844
0.596 0.00417964 0.602641 5.66788 3.59712 0.338646
0.598 0.00418122 0.603456 5.6733 3.60061 0.338854
0.6 0.00418304 0.604263 5.67867 3.60407 0.33906
0.602 0.00418691 0.605064 5.684 3.60752 0.339274
0.604 0.00419213 0.605857 5.68929 3.61095 0.339483
0.606 0.00419917 0.606645 5.69452 3.61437 0.339695
0.608 0.00420479 0.607424 5.69972 3.61775 0.339895
0.61 0.00420931 0.608201 5.70487 3.62113 0.340114
0.612 0.00421411 0.608966 5.70997 3.62446 0.340312
0.614 0.00421881 0.609727 5.71504 3.62777 0.34051
0.616 0.00422342 0.61048 5.72006 3.63107 0.340715
0.618 0.00422671 0.611227 5.72504 3.63433 0.34091
0.62 0.00423113 0.611968 5.72996 3.63758 0.341114
0.622 0.00423675 0.612701 5.73485 3.64079 0.341301
0.624 0.00424115 0.613429 5.73968 3.64397 0.341495
0.626 0.00424634 0.614152 5.74448 3.64713 0.341685
0.628 0.00425196 0.614868 5.74923 3.65026 0.341872
0.63 0.00425824 0.615579 5.75394 3.65337 0.342059
0.632 0.00426591 0.616285 5.7586 3.65646 0.342243
0.634 0.00427158 0.616987 5.76322 3.65952 0.342434
0.636 0.00427732 0.617682 5.76779 3.66254 0.342614
0.638 0.00428246 0.618371 5.77233 3.66553 0.342786
0.64 0.00428871 0.619056 5.77681 3.66851 0.342974
0.642 0.00429263 0.619732 5.78126 3.67144 0.343143
0.644 0.00429724 0.620405 5.78567 3.67436 0.343318
0.646 0.00430068 0.621071 5.79003 3.67724 0.343486
0.648 0.00430332 0.621729 5.79436 3.6801 0.343646
0.65 0.00430617 0.622383 5.79865 3.68293 0.343809
0.652 0.00430852 0.62303 5.80291 3.68572 0.343962
0.654 0.00431097 0.623672 5.80712 3.6885 0.344114
0.656 0.00431427 0.624308 5.8113 3.69124 0.344261
0.658 0.00431675 0.624939 5.81545 3.69396 0.344403
0.66 0.00431957 0.625565 5.81956 3.69665 0.344543
0.662 0.00432212 0.626185 5.82364 3.69932 0.34468
0.664 0.0043247 0.626801 5.82769 3.70196 0.344813
0.666 0.00432736 0.627412 5.8317 3.70457 0.344943
0.668 0.00432942 0.628017 5.83569 3.70716 0.345068
0.67 0.00433108 0.628618 5.83964 3.70973 0.345189
0.672 0.0043331 0.629215 5.84357 3.71227 0.345309
0.674 0.00433429 0.629808 5.84746 3.71479 0.345423
0.676 0.00433504 0.630398 5.85133 3.7173 0.345538
0.678 0.00433594 0.630984 5.85518 3.71979 0.345649
